Please enter a length to convert, in the form <number> <unit>.
Enter any letter to quit.
> 1.000000 mm = 0.039370 in
> 1.000000 cm = 0.393701 in
> 1.000000 m = 1.093613 yd
> 1.000000 km = 0.621371 mi
> 1.000000 in = 2.540000 cm
> 1.000000 ft = 0.304800 m
> 1.000000 yd = 0.914400 m
> 1.000000 mi = 1.609344 km
> 99.630700 m = 108.957458 yd
> 6.234700 in = 15.836138 cm
> 90.765300 ft = 27.665263 m
> 84.091100 mi = 135.331507 km
> 4.193100 mi = 6.748140 km
> 71.682700 m = 78.393154 yd
> 21.936000 mm = 0.863622 in
> 35.275200 ft = 10.751881 m
> 76.068100 m = 83.189086 yd
> 11.730900 cm = 4.618465 in
> 11.453200 km = 7.116689 mi
> 39.114300 km = 24.304499 mi
> 92.797800 yd = 84.854308 m
> 42.575000 mi = 68.517821 km
> 15.441800 cm = 6.079449 in
> 9.872400 yd = 9.027323 m
> 29.217500 in = 74.212450 cm
> 40.914900 mm = 1.610823 in
> 34.780800 yd = 31.803564 m
> 5.712800 cm = 2.249134 in
> 61.767500 yd = 56.480202 m
> 95.095800 km = 59.089791 mi
> 88.165200 in = 223.939608 cm
> 98.590000 mi = 158.665225 km
> 10.278300 yd = 9.398478 m
> 93.798800 m = 102.579615 yd
> 22.644000 m = 24.763780 yd
> 81.698600 cm = 32.164803 in
> 17.285100 mi = 27.817672 km
> 52.203300 ft = 15.911566 m
> Allowable units: mm, cm, m, km, in, ft, yd, mi.
> Allowable units: mm, cm, m, km, in, ft, yd, mi.
> 
